sec,pd_true,pf_true,pd_hat_rule,pf_hat_rule,pd_var_rule,pf_var_rule,pd_ci_low_rule,pd_ci_high_rule,pf_ci_low_rule,pf_ci_high_rule,pd_hat_global,pf_hat_global,pd_var_global,pf_var_global,pd_ci_low_global,pd_ci_high_global,pf_ci_low_global,pf_ci_high_global,pd_hat_full,pf_hat_full,pd_var_full,pf_var_full,pd_ci_low_full,pd_ci_high_full,pf_ci_low_full,pf_ci_high_full
233,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9338212723283352,0.03097195922704885,0.0009132872464348446,0.0004435373936259147,0.8745888125963259,0.9930537320603445,0.0,0.07225020109069069,0.8789900723100001,0.03577189118389873,0.0025949846279896237,0.00030228441056364633,0.7791457287201656,0.9788344158998347,0.0016946877830721907,0.06984909458472527
234,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9383823739809378,0.01613983305939708,0.0008544959731453794,0.00023467003223958435,0.881088118331394,0.9956766296304816,0.0,0.046164962465472706,0.8799706768121791,0.033026851791811515,0.002588242215619583,0.00028111223885135794,0.7802561277457355,0.9796852258786227,0.00016470370664555672,0.06588899987697747
235,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9451705821702843,0.006650093358542658,0.0007658594005443879,9.762368891919212e-05,0.8909292190501402,0.9994119452904283,0.0,0.026015814707151606,0.8815033714610279,0.029872576753584585,0.0025776164079570466,0.00025650034958256407,0.7819937176941305,0.9810130252279252,0.0,0.061263208205601896
236,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9070784163466911,0.0208589602999104,0.001245623097704484,0.00030183050357316044,0.8379033797211746,0.9762534529722076,0.0,0.05491056910957831,0.8742635089893851,0.031129454953045664,0.0026268717122070982,0.0002657747903578396,0.7738075964226536,0.9747194215561166,0.0,0.06308255237158518
237,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9222762240262139,0.015538912094151489,0.0010593515855492044,0.0002260707532770701,0.8584827678489082,0.9860696802035196,0.0,0.04500878494405012,0.8765125255892734,0.03111292674533612,0.00261182539320218,0.00026524053411333193,0.7763447242231383,0.9766803269554085,0.0,0.06303389220457271
238,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.932660739877531,0.027459105960287458,0.0009281480419008995,0.00039465670138151527,0.8729483163982709,0.992373163356791,0.0,0.06639640406926298,0.8783391016913278,0.033608696153338634,0.0025994364690684352,0.00028378402883171905,0.7784091505276587,0.9782690528549969,0.0005907506515371655,0.0666266416551401
239,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9531469494805751,0.008677239506232389,0.0006599681109820069,0.00012712234020862865,0.902794854239677,1.0,0.0,0.030775953997022747,0.8826400397003609,0.02958975656062441,0.0025696673549840663,0.00025275319989692273,0.7832839421979589,0.9819961372027628,0.0,0.06075025547710548
240,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9387861575934743,0.013586128429503998,0.0008492616931678033,0.0001980523971990301,0.8816676516564889,0.9959046635304597,0.0,0.0411694220885251,0.8805583496777951,0.02941875849370159,0.00258418061261866,0.0002510580996275857,0.7809220699327352,0.9801946294228551,0.0,0.060474592012210365
241,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9561018000758459,0.025674643816203137,0.0006202632704567477,0.0003696865489819841,0.9072878330194117,1.0,0.0,0.06336002356179135,0.8841722250496487,0.033147970393305595,0.0025588596102133873,0.0002790646460337549,0.7850252882407096,0.9833191618585877,0.0004057233078767625,0.06589021747873443
242,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9560310328587822,0.017578810961403214,0.0006212171980751557,0.0002552186655160565,0.9071795437502042,1.0,0.0,0.0488909176526893,0.8849628246316992,0.0325123540435818,0.002553241229192607,0.0002738735380074017,0.7859247940269546,0.9840008552364438,7.606905887316828e-05,0.06494863902829043
243,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9546064908391662,0.015327903663881103,0.0006403882535009728,0.00022304865566234345,0.9050069392822283,1.0,0.0,0.044600138214602694,0.8852499980710435,0.029884923850531007,0.0025511934182442697,0.00025352665587787,0.7862516918454965,0.9842483042965906,0.0,0.06109306383388191
244,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9558642369884194,0.026940184310572973,0.0006234649867236374,0.0003874050854170251,0.90692444650054,1.0,0.0,0.06551809737152073,0.8856003961173126,0.031246290418804185,0.0025486896918082555,0.00026352643254271284,0.786650679998212,0.9845501122364131,0.0,0.0630639450032654
245,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9551241215064852,0.020976029212420883,0.0006334290742307904,0.0003034882080428657,0.9057948083999254,1.0,0.0,0.055121018596186594,0.8858451009468222,0.030581056431749774,0.002546937881197481,0.0002581056952548798,0.7869293966102092,0.9847608052834352,0.0,0.06206976613683528
246,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9536229682252512,0.026692515568944065,0.0006535892024410763,0.00038394125884057793,0.9035148024226832,1.0,0.0,0.0650975769536361,0.8856914701183153,0.031164170300318633,0.0025480380219445567,0.0002621629408657651,0.7867544049450335,0.9846285352915971,0.0,0.06289940550710295
