method,rep_lane,rep_dev,pd_MAE_rep,pd_RMSE_rep,pf_MAE_rep,pf_RMSE_rep,pd_convergence_degrade_s,pd_convergence_recover_s,pf_convergence_degrade_s,pf_convergence_recover_s,pd_posterior_variance_mean,pf_posterior_variance_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
full,1,21,0.13196242298765234,0.17079445836315832,0.02745707164261173,0.03712150988501011,,173.0,,0,0.001898399411946287,0.00025608933017927816,-0.996219261981158,409,416,292,282,0.75,33
rule,1,21,0.18,0.26229754097208,0.052500000000000005,0.05766281297335399,,0.0,,0,0.0,0.0,,471,481,304,255,1.0,11
global,1,21,0.1728174935110589,0.27560343857901165,0.046185170462772235,0.06975849325509792,,0.0,,0,0.0009516003463060855,0.00023093165221684702,-0.999085541401733,445,457,289,255,1.0,11
full,1,21,0.1868128438513495,0.2406770242482128,0.03990492485343153,0.0532471135716541,,,,92,0.0024657562411487415,0.0003415119735216607,-0.993093075430127,427,440,278,255,1.0,11
rule,1,21,0.18,0.26229754097208,0.052500000000000005,0.05766281297335399,,0.0,,0,0.0,0.0,,436,444,338,262,1.0,22
global,1,21,0.17348450219640643,0.27442559755256535,0.04530463039590824,0.06797824373649645,,0.0,,0,0.0009674714171075276,0.0002484627464860682,-0.9991091867134602,432,441,327,262,1.0,22
full,1,21,0.17717018772165724,0.23850176026901154,0.034691155154744364,0.04463917381347706,,155.0,112.0,67,0.0017302544196403746,0.0004123944122451971,-0.9939944028977519,424,433,319,262,1.0,22
rule,1,21,0.18,0.26229754097208,0.052500000000000005,0.05766281297335399,,0.0,,0,0.0,0.0,,447,455,327,282,1.0,33
global,1,21,0.17180163714755436,0.2726219364995237,0.04609771214201594,0.06914149205747656,,0.0,,0,0.0011038717113597244,0.0002335164583800467,-0.999172448778988,443,452,321,282,1.0,33
full,1,21,0.16685212372568073,0.21698191181220633,0.04244965226514709,0.052773511300220774,,,200.0,98,0.0021508711059844434,0.00042118945996882093,-0.9926266623993442,438,448,314,282,1.0,33
