method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
global,298,1,6544,289314,49,201.0,353.3484550125431,33705.47490228187,0.9189619279590422
global,298,1,6545,290045,50,201.0,250.90466653060867,33945.53952623625,0.8943004473388002
global,298,1,6546,290660,51,201.0,372.26412861957215,33945.53952623625,0.8943004473388002
global,298,1,6547,291271,52,201.0,380.0506968816626,33702.26905408962,0.9193004663812836
global,298,1,6548,291945,53,201.0,319.71862363483524,33702.26905408962,0.9193004663812836
global,298,1,6549,292536,54,201.0,404.59473520651227,33986.44005143256,0.8902301639150968
global,298,1,6550,293191,55,201.0,341.91223391640233,34211.08996156122,0.8685182788773945
global,298,1,6551,294551,57,201.0,635.6731193643645,33864.320062723345,0.90249448839759
global,298,1,6552,295162,58,201.0,264.12479982787045,34215.74579525901,0.8680794997747826
global,298,1,6553,295854,59,201.0,217.18520517478464,34215.74579525901,0.8680794997747826
global,298,1,6554,296542,60,201.0,246.64919771190034,33861.96693519588,0.9027341287211844
global,298,1,6555,297122,61,201.0,373.33965102618095,33754.546287255944,0.91381092034954
global,298,1,6556,297799,62,201.0,289.8740552760428,33754.546287255944,0.91381092034954
global,298,1,6557,298422,63,201.0,353.5790867297328,33878.58915662884,0.9010440576616975
global,298,1,6558,298988,64,201.0,417.48935237701517,33878.58915662884,0.9010440576616975
global,298,1,6559,299696,65,201.0,280.38501538848504,34082.76446197012,0.8807891070495453
global,298,1,6560,300468,66,201.0,219.84108105656924,34505.24603259192,0.8416404975283465
global,298,1,17479,300942,67,,520.2747431676835,34505.24603259192,0.8416404975283465
global,302,1,6258,264655,23,175.0,0.0,33728.349530136824,0.9165535789301269
global,302,1,6259,265326,24,175.0,10.818181818176527,33817.79708358557,0.9072560781526823
global,302,1,6260,266043,25,175.0,36.768844221078325,33833.68668173028,0.9056241508480829
global,302,1,6261,266820,26,175.0,36.89039609330939,33833.68668173028,0.9056241508480829
global,302,1,6262,267634,27,175.0,48.01942417101236,33972.515219973866,0.8916117503140111
global,302,1,6263,268445,28,175.0,88.24283753079362,33863.76980929854,0.9025505142978326
global,302,1,6264,269062,29,175.0,310.27161454677116,33756.39744298115,0.9136177351580292
global,302,1,6265,269890,30,175.0,119.95457629178418,33756.39744298115,0.9136177351580292
global,302,1,6266,270519,31,175.0,333.9903485062532,33632.002373888194,0.9267838044391643
global,302,1,6267,272109,33,175.0,357.6047489140183,33815.714197488254,0.9074704352687989
