method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
global,0.027556073670478843,0.03524179665972593,0.010104926543127708,0.012496616308271638,0.04656982468049506,0.050045703867231374,0.013819437114226013,0.015931205647472406,0.016036903251672285,0.008049839057512349,0.0,0.0,0.0,0,0.0008983546206009939,0.00022207267728824033,-0.9993293581585562,340,351,253,262,0.1,22
full,0.02855699408779397,0.037082547171940886,0.007012861933734732,0.008730935734317888,0.05587748502271497,0.05806558560738057,0.009496809854225186,0.010988402043469042,0.007946108446023932,0.0051003845948388435,0.0,0.0,0.0,0,0.0007420926851357181,0.00018954189750263086,-0.9994437437419578,338,352,248,262,0.1,22
rule,0.04559999999999997,0.04623418648575963,0.026600000000000013,0.028958591125950863,0.05600000000000005,0.05600000000000006,0.011000000000000005,0.011000000000000001,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,417,430,269,255,0.2,11
global,0.044806204212856526,0.06048177781473047,0.013674022177922948,0.017524294592463543,0.09604291944075483,0.09785743669372153,0.024147221959904618,0.026240357704358244,0.01625407256519564,0.008177100633908165,,0.0,0.0,0,0.0008828158615130712,0.00021005521835153705,-0.9994456256920082,395,408,257,255,0.2,11
full,0.040430371515276294,0.05235710434011646,0.009602094458324674,0.012438412618582112,0.07423433975178143,0.0799879141049396,0.016571538309914778,0.018544376471956617,0.024037264840787376,0.006825370833455828,0.0,5.0,0.0,0,0.0020407410209500438,0.0002093926718678701,-0.9993954421587391,389,402,247,255,0.2,11
rule,0.04559999999999997,0.04623418648575963,0.026600000000000013,0.028958591125950863,0.05600000000000005,0.05600000000000006,0.011000000000000005,0.011000000000000001,0.039999999999999925,0.035,0.0,0.0,0.0,0,0.0,0.0,,397,402,293,262,0.2,22
global,0.04334132666933578,0.058930542548926115,0.013528324856166552,0.017249113063983457,0.09178961766420285,0.09425933708225125,0.023363828431990582,0.025660259069821143,0.015917833121841463,0.008394177406855576,93.0,0.0,0.0,0,0.0009091859467561257,0.00022549412307738598,-0.9992435814116906,384,389,278,262,0.2,22
full,0.04399678885623147,0.05861161190992734,0.010045262925336926,0.012689150499898166,0.09337088449829686,0.09516494494078476,0.0173194569988792,0.018536987361357293,0.014566408308834914,0.0062928153703635786,195.0,0.0,0.0,0,0.0010004319984037073,0.00018145714547032849,-0.9994195827067338,375,380,270,262,0.2,22
rule,0.06239999999999999,0.06946653870749575,0.023100000000000006,0.028224103174414598,0.1040000000000001,0.10400000000000009,0.0009999999999999937,0.000999999999999994,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,416,422,278,255,0.3,11
global,0.059920305760181085,0.08554566582937796,0.017664122759950277,0.02350970897817122,0.14017626547953363,0.14160423970354763,0.035572359316641884,0.037252245900565494,0.015367520525123496,0.007990003777452463,,0.0,90.0,0,0.0008946107076630472,0.00021351563937477863,-0.9992515891012053,405,411,268,255,0.3,11
